model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
187,156,100.0,17.0,5.05442,250.0,Bettina,,149,2013icar..226.1045h,0.129627,0.100136,0.093574,0.82817,0.8281701685479401
204,164,322.0,18.0,4.701204,349.0,Dembowska,,106,2003icar..164..346t,0.109215,0.085139,0.070155,0.733176,0.7331811345147872
204,164,322.0,18.0,4.701204,349.0,Dembowska,,149,2013icar..226.1045h,0.109215,0.085139,0.070155,0.733176,0.7331811345147872
219,174,297.0,26.0,5.129363,511.0,Davida,,106,2003icar..164..346t,1.211748,1.001837,0.788415,0.718806,0.7188060226085444
219,174,297.0,26.0,5.129363,511.0,Davida,,112,2006icar..185...39m,1.211748,1.001837,0.788415,0.718806,0.7188060226085444
227,179,75.0,-69.0,5.06893,584.0,Semiramis,,106,2003icar..164..346t,1.205859,1.026449,0.79867,0.720208,0.7202074118594628
236,185,49.0,74.0,7.715486,675.0,Ludmilla,,106,2003icar..164..346t,1.343784,1.065143,0.678843,0.571249,0.5712491993732837
237,185,196.0,49.0,7.715487,675.0,Ludmilla,,106,2003icar..164..346t,1.288677,1.003712,0.743881,0.659187,0.6591869371772705
241,188,266.0,51.0,5.92193,694.0,Ekard,,106,2003icar..164..346t,1.280435,0.954698,0.796283,0.727976,0.7279763480992023
103,102,103.0,27.0,7.209531,3.0,Juno,,139,2011icar..214..652d,0.083207,0.072519,0.054283,0.700465,0.7004599412041794
103,102,103.0,27.0,7.209531,3.0,Juno,,103,2002icar..159..369k,0.083207,0.072519,0.054283,0.700465,0.7004599412041794
104,103,126.0,40.0,16.80061,5.0,Astraea,,139,2011icar..214..652d,0.123685,0.097288,0.091284,0.838165,0.8381612326662926
104,103,126.0,40.0,16.80061,5.0,Astraea,,123,2009a&a...493..291a,0.123685,0.097288,0.091284,0.838165,0.8381612326662926
104,103,126.0,40.0,16.80061,5.0,Astraea,,149,2013icar..226.1045h,0.123685,0.097288,0.091284,0.838165,0.8381612326662926
107,105,16.0,15.0,7.138843,7.0,Iris,,139,2011icar..214..652d,0.090649,0.077543,0.061534,0.736184,0.736181449564872
107,105,16.0,15.0,7.138843,7.0,Iris,,103,2002icar..159..369k,0.090649,0.077543,0.061534,0.736184,0.736181449564872
107,105,16.0,15.0,7.138843,7.0,Iris,,149,2013icar..226.1045h,0.090649,0.077543,0.061534,0.736184,0.736181449564872
113,109,32.0,-7.0,4.195948,16.0,Psyche,,139,2011icar..214..652d,0.095222,0.074486,0.060475,0.723503,0.7234961844093902
113,109,32.0,-7.0,4.195948,16.0,Psyche,,103,2002icar..159..369k,0.095222,0.074486,0.060475,0.723503,0.7234961844093902
113,109,32.0,-7.0,4.195948,16.0,Psyche,,149,2013icar..226.1045h,0.095222,0.074486,0.060475,0.723503,0.7234961844093902
116,110,236.0,19.0,12.26603,17.0,Thetis,,139,2011icar..214..652d,0.157169,0.116698,0.108513,0.810141,0.8101420529160406
116,110,236.0,19.0,12.26603,17.0,Thetis,,123,2009a&a...493..291a,0.157169,0.116698,0.108513,0.810141,0.8101420529160406
121,114,196.0,3.0,4.1482,22.0,Kalliope,,139,2011icar..214..652d,0.121772,0.089699,0.071027,0.687553,0.6875578652185489
121,114,196.0,3.0,4.1482,22.0,Kalliope,,103,2002icar..159..369k,0.121772,0.089699,0.071027,0.687553,0.6875578652185489
128,119,94.0,35.0,12.17458,34.0,Circe,,139,2011icar..214..652d,0.127354,0.111107,0.10003,0.842878,0.8428758731466314
128,119,94.0,35.0,12.17458,34.0,Circe,,123,2009a&a...493..291a,0.127354,0.111107,0.10003,0.842878,0.8428758731466314
128,119,94.0,35.0,12.17458,34.0,Circe,,149,2013icar..226.1045h,0.127354,0.111107,0.10003,0.842878,0.8428758731466314
129,119,275.0,51.0,12.17458,34.0,Circe,,139,2011icar..214..652d,0.121518,0.105266,0.094179,0.834848,0.8348486641421091
129,119,275.0,51.0,12.17458,34.0,Circe,,123,2009a&a...493..291a,0.121518,0.105266,0.094179,0.834848,0.8348486641421091
129,119,275.0,51.0,12.17458,34.0,Circe,,149,2013icar..226.1045h,0.121518,0.105266,0.094179,0.834848,0.8348486641421091
130,120,323.0,32.0,5.138238,39.0,Laetitia,,139,2011icar..214..652d,0.122238,0.087172,0.059811,0.587718,0.5877129211138707
130,120,323.0,32.0,5.138238,39.0,Laetitia,,103,2002icar..159..369k,0.122238,0.087172,0.059811,0.587718,0.5877129211138707
130,120,323.0,32.0,5.138238,39.0,Laetitia,,149,2013icar..226.1045h,0.122238,0.087172,0.059811,0.587718,0.5877129211138707
131,121,198.0,-32.0,5.98798,41.0,Daphne,,139,2011icar..214..652d,0.100098,0.080431,0.06713,0.752632,0.7526356046843384
131,121,198.0,-32.0,5.98798,41.0,Daphne,,149,2013icar..226.1045h,0.100098,0.080431,0.06713,0.752632,0.7526356046843384
131,121,198.0,-32.0,5.98798,41.0,Daphne,,104,2002a&a...383l..19k,0.100098,0.080431,0.06713,0.752632,0.7526356046843384
135,125,251.0,35.0,5.629958,52.0,Europa,,139,2011icar..214..652d,0.078106,0.070831,0.047919,0.645023,0.6450191105926072
135,125,251.0,35.0,5.629958,52.0,Europa,,103,2002icar..159..369k,0.078106,0.070831,0.047919,0.645023,0.6450191105926072
135,125,251.0,35.0,5.629958,52.0,Europa,,149,2013icar..226.1045h,0.078106,0.070831,0.047919,0.645023,0.6450191105926072
135,125,251.0,35.0,5.629958,52.0,Europa,,112,2006icar..185...39m,0.078106,0.070831,0.047919,0.645023,0.6450191105926072
135,125,251.0,35.0,5.629958,52.0,Europa,,108,2004a&a...416..353m,0.078106,0.070831,0.047919,0.645023,0.6450191105926072
136,126,156.0,13.0,7.022641,54.0,Alexandra,,139,2011icar..214..652d,0.10979,0.089641,0.085692,0.868222,0.868227370352874
136,126,156.0,13.0,7.022641,54.0,Alexandra,,149,2013icar..226.1045h,0.10979,0.089641,0.085692,0.868222,0.868227370352874
